"ENSEMBL","SYMBOL","log2FoldChange","padj","Direction","Is_DEG","Is_ChIPseq","Is_ncRNA_target","Is_GWAS_gene","Evidence_Count"
"ENSG00000158089","GALNT14",3.40996145304627,1.3570784799212e-06,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000131747","TOP2A",3.40582669458104,3.28189551531537e-12,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000167900","TK1",3.39228308220802,1.51071787837778e-16,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000169607","CKAP2L",3.38884908627404,1.33977592050774e-06,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000115155","OTOF",3.33899561146722,0.00804373639198852,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000164045","CDC25A",3.32314674395519,8.41976473461613e-08,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000106853","PTGR1",3.31371400548993,1.56993034459389e-06,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000173369","C1QB",3.28507272673685,4.60752257027594e-09,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000092853","CLSPN",3.25952874598996,4.30270524207316e-11,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000183691","NOG",-3.25922475391059,5.39218641717592e-05,"Downregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000065328","MCM10",3.25668258733338,2.06538081037176e-08,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000178445","GLDC",3.24750628032449,0.0017019717784138,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000151364","KCTD14",3.23461130392699,0.00643812836161919,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000134531","EMP1",3.23262585899215,2.85661164901629e-18,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000154839","SKA1",3.20188932570332,7.79250086865779e-08,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000101187","SLCO4A1",3.17638994956579,8.05629320464516e-08,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000118193","KIF14",3.12885155976369,7.62072913051468e-07,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000276043","UHRF1",3.11493272228889,1.78916872922104e-12,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000105974","CAV1",3.10591602827644,8.8202285892882e-05,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000136160","EDNRB",3.1030338050825,0.00603985994752773,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000176890","TYMS",3.07917418799387,5.56563337309083e-11,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000237649","KIFC1",3.0642491653379,7.28219234910233e-15,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000123485","HJURP",3.05749945292819,4.01899094782737e-10,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000148773","MKI67",3.04550902961095,2.54571665896367e-16,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000094804","CDC6",3.00182623493708,2.31351910381983e-08,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000146670","CDCA5",2.99324249317913,9.97706813275709e-08,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000121933","TMIGD3",2.9495077514828,0.0063873348747016,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000165304","MELK",2.94486091307513,1.31542536038254e-07,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000075218","GTSE1",2.92816843554265,3.54190424087493e-07,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000035499","DEPDC1B",2.9192414252784,3.77131273624258e-06,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000105976","MET",2.89531501336738,0.00150183113796141,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000120885","CLU",2.86872224985812,0.0011583275238117,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000079215","SLC1A3",2.84276886032584,0.000618680875493633,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000080031","PTPRH",2.8018776867977,0.00209956506559734,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000011426","ANLN",2.78508369666033,3.57850848794239e-06,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000105048","TNNT1",2.77443938770422,0.00945401698094581,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000112984","KIF20A",2.76490766013434,1.67601482607845e-07,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000213949","ITGA1",2.73344469005047,4.46125807367399e-06,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000051341","POLQ",2.73178020863263,4.83464572671553e-09,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000177182","CLVS1",2.64477530104975,0.00917925763319569,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000135476","ESPL1",2.61577935251754,1.41629035481159e-09,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000186081","KRT5",-2.60280335689769,0.00890827417082399,"Downregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000165891","E2F7",2.59920503375087,0.0080881725065981,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000173114","LRRN3",-2.57432387743028,0.00933915013241618,"Downregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000179750","APOBEC3B",2.56323204086496,2.41088362239395e-07,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000157445","CACNA2D3",-2.55038289503328,4.10936188132995e-14,"Downregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000178726","THBD",2.52778122030542,5.36398920927743e-13,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000136010","ALDH1L2",2.51456423658587,6.3548702887112e-05,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000117724","CENPF",2.47660290652377,7.40861318596808e-08,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000085999","RAD54L",2.46318075595786,6.7622864562727e-07,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000171320","ESCO2",2.46119054247219,7.89661231330881e-06,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000029153","BMAL2",2.45652745809143,4.05829078498293e-12,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000154736","ADAMTS5",-2.45154856808998,0.00386988265051074,"Downregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000100526","CDKN3",2.44368887891757,1.57022319444254e-05,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000078053","AMPH",2.44207165146275,0.00816610649994293,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000137812","KNL1",2.43148575007583,7.28953131931507e-07,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000006327","TNFRSF12A",2.36963591353717,0.000480444078072903,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000137563","GGH",2.35625568035414,6.88103635081577e-10,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000104147","OIP5",2.33264188896487,9.0159214432735e-05,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000143847","PPFIA4",-2.30429245326687,0.00429336088263217,"Downregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000136982","DSCC1",2.28567266979356,0.00148650743794858,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000106070","GRB10",2.25553866061705,0.00152168796520769,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000138160","KIF11",2.25271377168293,8.97454991428283e-07,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000119326","CTNNAL1",2.2011708874581,1.3780633320416e-09,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000113070","HBEGF",2.19773850457085,0.000163620588438065,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000143228","NUF2",2.19659577501465,9.4704189141692e-06,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000183160","TMEM119",2.13404253617385,8.48528984060612e-05,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000101412","E2F1",2.12254312663503,3.96510146697934e-08,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000247796","MOCS2-DT",-2.11952728721644,0.00728964348037946,"Downregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000137941","TTLL7",2.10715990588477,0.0087651212269797,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000171714","ANO5",2.09361519504264,0.00165117130321077,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000003436","TFPI",2.09170670564748,0.000355255705249202,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000137571","SLCO5A1",2.08905398518837,0.00739353807210292,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000136158","SPRY2",2.08719144878917,0.000330387168411474,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
"ENSG00000258572","SYNE3-AS1",2.07473544297862,0.00849249954567497,"Upregulated",TRUE,TRUE,FALSE,FALSE,2
