"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Negative Regulation Of DNA-templated Transcription (GO:0045892)","105/1025",2.84604974775896e-05,0.0026057042276838,0,0,1.58173878996289,16.556049610412,"ZNF692;EHMT2;GMNN;UBE2D3;ENO1;ETS2;RRP8;EDNRB;SCMH1;SOX8;BTRC;DAXX;ZBTB32;IFI27;ZNF439;ZNF559;TIMELESS;ZNF558;TP53;ATF4;ZNF398;ZNF550;ZNF274;PDGFB;ZBTB4;HIF1A;MTDH;PRDX5;HESX1;ZNF304;PATZ1;ZNF785;CBX7;HSPA8;ZNF263;ZNF141;GADD45A;CAV1;PLK1;HMGA1;TRERF1;BMP6;H1-5;MAFB;CDK5;ID2;ID1;BCL3;MAFF;MXD1;EZH2;HMGB2;CBY1;FASLG;BRCA1;FOXM1;ING4;SUMO1;YWHAQ;SIN3A;CD38;ZNF248;KLF10;KLF11;KLF12;TGIF2;NOG;SIRT1;COMMD7;ZNF75A;DEPDC1;ZNF239;BIRC5;PPARG;SINHCAF;GAS6;JDP2;CEBPB;RPL10;UHRF1;LEF1;ZNF3;AURKB;RNF2;NFIL3;CCDC85B;BAHD1;E2F1;ZNF589;APBB1;ZNF224;E2F7;E2F8;SEMA4D;CDKN2A;HINFP;MAD2L2;CENPF;DNAJA3;ZNF217;CTNNB1;ZNF337;BCOR;LIMS1;HSPA1A"
"Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970)","7/15",2.90977579864187e-05,0.0026057042276838,0,0,11.8427272727273,123.695503226635,"CDC20;ESPL1;UBE2C;CDCA8;BIRC5;AURKB;DLGAP5"
"Mitotic Cytokinesis (GO:0000281)","14/59",3.70030273562263e-05,0.00323280107292689,0,0,4.22387914230019,43.1026204447313,"PLK1;CDCA8;KIF23;CENPA;AURKB;CIT;ANLN;ESPL1;KIF4A;CFL1;STMN1;BIRC5;KIF20A;CEP55"
"Regulation Of Apoptotic Process (GO:0042981)","77/705",4.25477802894429e-05,0.00359488977393479,0,0,1.69025306879469,17.0121991604705,"TOP2A;MTCH2;TFRC;KIF14;ETFA;FASLG;PARK7;CLU;ING4;MYDGF;DSTYK;LGALS1;CFL1;TNFRSF8;CD38;CASP2;NME2P1;PIM3;SOX8;CCNL2;CTSD;RBM5;KLF11;TNFRSF12A;ANXA4;TRAF2;WDR73;SIRT1;NME1;DNAJC3;MELK;BIRC5;VDAC1;BIRC7;GAS6;TP53;ATF4;MCM2;RPL10;BCL2A1;LEF1;LRP8;NUGGC;MTDH;HSP90B1;SOCS3;PRDX5;NUAK2;BAG1;E2F1;RIPK1;BRD8;APBB1;MCL1;TXNDC5;STIL;EGR3;SEMA4D;HSPA5;BIK;GADD45A;PLK1;DHCR24;IGF1;TNFRSF10D;CD40LG;CDK5;DNAJA3;BCL3;CDK1;TRIM35;CTNNB1;SPRY2;GHRL;ANP32B;HSPA1A;MAD2L1"
"Regulation Of Mitotic Cell Cycle (GO:0007346)","22/125",4.31547348629804e-05,0.00359488977393479,0,0,2.90783837806967,29.2258647376304,"YWHAE;CDCA2;GMNN;PLK1;XPC;MKI67;CDC25C;FBXO43;PKMYT1;SIRT1;AURKA;CDC20;CCNB1;CKS2;TRIM35;RCC1;NEK2;PIM3;DLGAP5;LGMN;TP73;MAD2L1"
"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)","7/16",4.86418697274842e-05,0.00395989039463291,0,0,10.526303030303,104.53698782439,"COX8A;COX7B;NDUFA4;COX7A2;COX5B;COX6A1;COX5A"
"Cell Cycle G2/M Phase Transition (GO:0044839)","11/40",5.88442806256676e-05,0.00460251932091183,0,0,5.14296134208607,50.0956110969524,"CCNA2;CCNB1;MELK;PLK1;CDK1;FOXM1;PKMYT1;CDC25C;AURKB;CDC25A;AURKA"
"DNA-templated DNA Replication (GO:0006261)","15/69",5.91054965834573e-05,0.00460251932091183,0,0,3.77225067056815,36.7273365554152,"GINS1;GINS2;MCM7;POLDIP2;HMGA1;MCM10;RECQL4;CDC45;ORC6;RAD51;ORC1;POLE2;MCM4;MCM6;MCM2"
"Histone Monoubiquitination (GO:0010390)","6/12",6.92177817687338e-05,0.00516537696449176,0,0,13.5261627906977,129.557006168422,"DEPDC1B;RAD51;UHRF1;BRCA1;BRCA2;RNF2"
"Regulation Of DNA-templated DNA Replication Initiation (GO:0030174)","6/12",6.92177817687338e-05,0.00516537696449176,0,0,13.5261627906977,129.557006168422,"MCM7;GMNN;MCM4;MCM6;MCM2;TICRR"
