"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitochondrial Respiratory Chain Complex IV (GO:0005751)","7/17",7.77609928285778e-05,0.00215610025570148,0,0,9.47316363636364,89.6338487844377,"COX8A;COX7B;NDUFA4;COX7A2;COX5B;COX6A1;COX5A"
"Intracellular Non-Membrane-Bounded Organelle (GO:0043232)","116/1195",0.000109829565849366,0.00260702851415827,0,0,1.48938737084686,13.5781203015342,"JPT1;ZNF692;HJURP;BUB1B;AUP1;MKI67;GIMAP7;CLU;RRP8;CDC14A;CDC20;RPL36AL;ARHGDIB;RCC1;RPS9;TPM4;TPM3;ESCO2;HASPIN;PIMREG;MYCL;KATNAL1;SUB1;KIF20A;S100A9;TP53;S100A8;SRSF9;ZNF276;ZNF397;CDCA2;CDCA5;PRKRIP1;CDCA8;XPC;AK5;HMMR;PKMYT1;RAD51AP1;SURF6;FAM83D;PLK4;ARL14EP;CAV1;PLK1;CDC6;H1-5;TPX2;UBE2T;SPATS2L;ANP32B;TOP2A;MRPS15;CDKN1A;FEN1;MCM7;HMGB2;NAT10;MCM10;BRCA1;KIF11;FOXM1;KRI1;H1-10;SUMO1;TRIM68;CASP2;RAC1;RBM7;ANXA2;CEMIP2;KIF23;TUBG1;SIRT1;CKAP4;REXO5;SAPCD2;POLR1B;DMC1;TUT1;KIF2C;PLIN2;TOP1;ARHGEF2;MAPRE1;GAPDH;SLC29A2;MCM2;RGS14;DCTN3;RRBP1;TTK;AURKB;AURKA;RECQL4;PDLIM1;REPIN1;ZNF506;IGF2BP3;ZNF346;WASF1;E2F8;HSD3B7;CDC42BPA;HINFP;MAD2L2;CENPE;CENPF;SCD;CAPZA1;SPRY2;BMAL2;P4HB;VIM;TRIP13;SPC24"
"Mitochondrial Proton-Transporting ATP Synthase Complex (GO:0005753)","7/18",0.000119666882617101,0.00260702851415827,0,0,8.6115041322314,77.7687599223612,"ATP5PF;ATP5PD;ATP5MC3;ATP5MK;ATP5MJ;ATP5F1C;ATP5F1E"
"Proton-Transporting ATP Synthase Complex (GO:0045259)","7/18",0.000119666882617101,0.00260702851415827,0,0,8.6115041322314,77.7687599223612,"ATP5PF;ATP5PD;ATP5MC3;ATP5MK;ATP5MJ;ATP5F1C;ATP5F1E"
"Mitochondrial Inner Membrane (GO:0005743)","45/370",0.000157043891521585,0.00317925631503168,0,0,1.89444796041655,16.5934417002284,"NDUFB9;COX7B;MRPS15;MCUR1;STOML2;NDUFB7;UQCRB;SHMT2;NDUFA12;NDUFB11;NDUFB3;ATP5MC3;MRPL37;COX5B;TYMS;COX6A1;COX5A;CLU;MRPL10;UQCRH;APOO;SLC25A29;STMP1;ATP5MK;ATP5MJ;COX8A;ATP5PF;ATP5PD;NDUFA6;MRPS25;NDUFA4;NDUFA3;NDUFA1;MRPL28;UQCC6;ATP5F1C;SDHB;ATP5F1E;COQ6;UQCRQ;NDUFS6;NDUFS5;AURKAIP1;SLC25A4;CDS2"
"Respiratory Chain Complex IV (GO:0045277)","7/19",0.000178200460069301,0.00317925631503168,0,0,7.89345454545455,68.1410472427916,"COX8A;COX7B;NDUFA4;COX7A2;COX5B;COX6A1;COX5A"
"Intracellular Organelle Lumen (GO:0070013)","87/856",0.00017975555287674,0.00317925631503168,0,0,1.559326407961,13.4474947656866,"ERO1A;GLDC;NUDT1;ETFA;ETFB;LAMC1;SRP14;ALDH1L2;MYDGF;ADAMTS5;PSMD7;LGALS1;CTSL;FDXR;SDF4;IL12A;TIMP1;TK1;CTSD;TOR3A;PGAM1;GPT2;P3H2;MMP8;F3;PDIA6;PDIA5;CKAP4;PSMA5;CCNA2;DNAJC3;NDUFS8;PKM;MTHFD2;IL23A;ETHE1;DNAJB11;MTHFD2L;MXRA8;MZB1;PPIB;GAS6;CD63;LIPT1;SDC4;POLDIP2;SHMT2;PDGFB;TYMS;HSD17B10;ACAT1;HSP90B1;PSMB7;CCNB1;PRDX5;PRDX4;MTHFD1L;PSMB1;IGFBP7;TXNDC5;MPST;HSPA8;COL24A1;HSPA5;GOLM1;MTERF4;GSR;FN1;GGH;PDAP1;PYCR1;PYCR2;PPBP;ATP5F1C;HARS2;ATP5F1E;MANF;ERP44;DNAJA3;CALU;CDK1;SDC1;GHRL;NAGS;P4HB;COL9A2;HSPA1A"
"Condensed Chromosome (GO:0000793)","13/60",0.000187628241542853,0.00317925631503168,0,0,3.75212532831854,32.1971675122333,"HMGB2;NCAPG;MKI67;TUBG1;SMC4;CENPA;NCAPH;SGO1;CENPE;RAD51;CHEK1;DMC1;RCC1"
"Organelle Inner Membrane (GO:0019866)","47/398",0.000226727682657937,0.00363957595845636,0,0,1.83221614008131,15.3755197582523,"NDUFB9;COX7B;MRPS15;MCUR1;STOML2;NDUFB7;UQCRB;SHMT2;NDUFA12;NDUFB11;NDUFB3;ATP5MC3;MRPL37;COX5B;TYMS;COX6A1;CLU;COX5A;MRPL10;UQCRH;APOO;SLC25A29;STMP1;ATP5MK;ATP5MJ;COX8A;ATP5PF;NDUFA6;ATP5PD;NDUFA4;MRPS25;NDUFA3;NDUFA1;MRPL28;UQCC6;ATP5F1C;SIRT1;SDHB;ATP5F1E;COQ6;IFI27;UQCRQ;NDUFS6;NDUFS5;AURKAIP1;SLC25A4;CDS2"
"Chromosome (GO:0005694)","24/164",0.000386325579721756,0.00589146509075678,0,0,2.33258994319377,18.3314279941067,"ZNF276;TOP2A;CDCA2;CDCA5;HMGB2;NCAPG;ESCO2;BRCA1;MKI67;RAD51AP1;H1-5;RECQL4;REPIN1;MAD2L2;MYCL;CENPE;RAD51;POLR1B;DMC1;RCC1;SURF6;BIRC5;TOP1;TRIP13"
"Condensed Nuclear Chromosome (GO:0000794)","8/28",0.000453923166800255,0.00659269361305133,0,0,5.41426491994178,41.676751495668,"RAD51;CHEK1;DMC1;NCAPG;RCC1;TUBG1;SMC4;NCAPH"
"Endoplasmic Reticulum Lumen (GO:0005788)","35/284",0.000632470943163009,0.00876834716657808,0,0,1.91684331982719,14.1192307383133,"ERO1A;PDGFB;LAMC1;HSP90B1;MYDGF;ADAMTS5;LGALS1;IL12A;IGFBP7;TIMP1;TXNDC5;TOR3A;COL24A1;HSPA5;GOLM1;P3H2;FN1;F3;PDIA6;PDIA5;CKAP4;MANF;CCNA2;DNAJC3;ERP44;IL23A;DNAJB11;MXRA8;CALU;MZB1;GHRL;COL9A2;P4HB;GAS6;PPIB"
"Intracellular Membrane-Bounded Organelle (GO:0043231)","405/5175",0.00157005866113587,0.0208203431150626,0,0,1.20345300399761,7.770265567508,"ATF1;TFRC;EHMT2;ENO1;MSANTD4;SMC4;PSMD8;PSMD7;ZFYVE27;ZC3H12B;PWWP2A;PSMD1;NME2P1;UBASH3A;RNF111;DAXX;BHLHA15;ZNF14;DEPDC1B;ZSCAN26;PRR11;ASF1A;ATF4;ASF1B;ZNF398;CDCA2;SHMT2;CDCA5;CDCA7;NCAPG;SLCO5A1;XPC;WDR62;HIF1A;SAMSN1;MTDH;PRDX5;LDHA;PRDX4;RNF216;PRDX1;HESX1;SERF2;ARL14EP;ZNF263;PLK1;ABCA7;SLC16A10;SNF8;CDC6;PRDX6;H1-3;H1-2;H1-5;FAM111B;FOSL1;H1-4;SQLE;FIBP;EZH2;SETD4;SETD5;CDKN1A;MED12;ING4;TRIM7;CSRP1;PBK;AP3S1;DLGAP5;HLA-DPA1;WDR37;TIGD7;ANXA2;ANXA4;SIRT1;PSMA5;PSMA6;SLC7A5;MED22;HEATR5B;KIFC1;PPARG;SINHCAF;GPRC5D;JDP2;RPL10;SF3B6;RPS27L;CENPA;PSMB6;RECQL4;PSMB7;PSMB2;PSMB3;PSMB1;BRD8;ZNF589;ZNF346;ZNF224;CDKN2D;CDKN2C;CDKN2A;PSMB8;HINFP;AGBL5;CENPE;CENPF;FABP5;PSMC1;TRMT6;ZNF217;CRLF3;ZNF696;CDKN3;HSPA1A;ERO1A;MTCH2;PDCD6;UBE2D3;GMNN;PARK7;CLU;TUBB6;PAPOLG;CFL1;CHP1;NEK2;OIP5;SLC26A11;KPNA2;TXNL4A;ZNF443;ZNF563;TLE3;RPS9;ZBTB32;CDC25C;CDC25A;ERH;SNRNP25;S100A9;S100A8;SNRPA;SNRPB;LRRC59;PARM1;AK5;FBXO43;HSP90B1;RAD51AP1;ORC1;BAG1;KHDC4;SMYD4;ZNF786;PLTP;MCL1;TCEANC;LSM1;FANCA;DHCR24;NDC80;LSM2;COPS6;MAFB;ARPC2;CDK5;ARPC3;BCL3;TADA3;MAFF;NFE2L3;CDK1;ANXA2P2;COPS8;DIDO1;MCM7;CELF1;MCM10;FASLG;FOXM1;DUSP16;H1-10;RESF1;SART3;SUMO1;EXO1;SIN3A;SUMO3;ZNF649;TRIM68;CEMIP2;DDOST;REXO5;ASPM;PKM;TFDP1;NPC1;ESPL1;BIRC5;MCM4;ETF1;BIRC7;TOP1;MCM6;GAPDH;MCM2;MTPN;CEBPB;TRIM52;UHRF1;TTK;ZBTB40;CDC45;CCDC85B;E2F1;RBBP8;POLR2F;IGF2BP3;ZNF501;EEIG1;H2AZ2;FOXJ2;HNRNPAB;REC8;SNRK;RAD51;MFAP1;DNAJA3;TRIM35;BCOR;TRIM32;JPT1;KDELR1;SLC35B1;CCNF;NUDT1;MKI67;MT2A;RPL36AL;CHEK1;PCLAF;RCC1;SOX8;CCNL2;GLUL;P3H2;KNL1;ESCO2;KRT5;HASPIN;NEIL3;MARF1;SUB1;MT1F;VDAC1;KIF20A;TRIB1;AURKAIP1;TP53;TELO2;MT1E;TMEM63A;DCUN1D4;TXN;ZBTB4;UBE2J1;ZNF823;PATZ1;CDT1;BCL11B;APOBEC3H;GADD45A;NTAN1;TRERF1;MANF;TPX2;ID2;ID1;INTS5;FBXL3;ANP32B;APOBEC3A;TP73;APOBEC3B;DCP1B;TOP2A;CSRNP2;AHCTF1;FEN1;PPP1R10;ICA1;NAT10;BRCA1;KIF11;BRCA2;CTSL;UFD1;TMED2;RAC1;CLIC1;H3-3A;SEC13;KIF23;TUBG1;NME1;RNF144A;DMC1;DEPDC1;DNASE1L1;CD63;PCNA;MIS12;NEDD8;TYMS;NFIL3;LMNA;SCAND1;APBB1;DCPS;H2BC9;GINS1;GINS2;MAD2L2;KBTBD6;CTNNB1;BMAL2;TRIP13;MAD2L1;DBR1;PRAG1;SPPL2A;JADE1;SRP14;ETS2;NR3C2;CHCHD2;RGS3;PTTG1;CWC22;ADAM19;CCNE2;CCNE1;PRPF3;TIMELESS;PPIB;CCNB2;CCNB1;CLSPN;MORC2;CBX7;HSPA8;HSPA5;UBE2C;HMGA1;KLHL22;GGH;AZIN2;SEM1;KIF18A;DIAPH3;KIF18B;UBE2S;UBE2T;UBE2K;YWHAE;C2ORF42;NAA40;HMGB2;CBY1;LMNB1;DBP;H2BC21;CASP2;MYBL2;RBM7;RBM5;KLF10;KLF11;MKKS;TGIF2;BUD31;AKTIP;TGFBR1;CCNA2;H2BC12;POLDIP2;RGS14;LEF1;RNF7;RNF4;RNF2;AURKB;AURKA;S1PR1;RALY;MAPK6;BUB1;MAPK12;TICRR;FMNL3;TEF;POLE2;SPRY2"
"Microtubule (GO:0005874)","24/185",0.00214225542405117,0.0272244960139837,0,0,2.02603390078577,12.4517937854404,"BOD1;PLK1;KIF14;TUBD1;KIF23;KIF11;SKA3;TUBG1;SKA1;AURKB;KIF15;AURKA;CENPE;TUBB6;KATNAL1;CDK5;KIFC1;MATCAP1;KIF4A;CDK1;KIF2C;KIF20A;ARHGEF2;MAPRE1"
"Serine/Threonine Protein Kinase Complex (GO:1902554)","11/60",0.00244464603451665,0.02943809728589,0,0,3.04051861444797,18.2852378826499,"CCNA2;CCNB2;CDKN1A;CDK5;CCNF;CKS2;CDK1;CCNL2;TGFBR1;TGFBR2;MCM2"
"Mitochondrial Membrane (GO:0031966)","55/540",0.00250947714568243,0.02943809728589,0,0,1.54960029210917,9.27851200356169,"IFI27L2;MTCH2;COX7B;MRPS15;MCUR1;SLC44A1;NDUFA12;MRPL37;COX6A1;CLU;COX8A;CPT1A;MRPS25;SDHB;IFI27;NDUFS6;NDUFS5;VDAC1;AURKAIP1;SLC25A4;NDUFB9;STOML2;NDUFB7;UQCRB;BCL2A1;SHMT2;NDUFB11;NDUFB3;ATP5MC3;MFF;COX5B;TYMS;COX5A;MRPL10;UQCRH;APOO;SLC25A29;PGRMC1;STMP1;ATP5MK;ATP5MJ;MCL1;ATP5PF;NDUFA6;ATP5PD;NDUFA4;NDUFA3;NDUFA1;MRPL28;UQCC6;ATP5F1C;ATP5F1E;COQ6;UQCRQ;CDS2"
"Focal Adhesion (GO:0005925)","41/387",0.00425783674607696,0.04805206483388,0,0,1.61460044053053,8.81409420405971,"YWHAE;ARF1;PRAG1;TWF1;HSP90B1;PDLIM1;CSRP1;RRAS;YWHAQ;CFL1;CHP1;CD59;RSU1;RAC1;CD99;PDLIM7;ARL14EP;HSPA8;KLF11;RPS9;TPM4;HSPA5;CAV1;ITGA1;HMGA1;IL16;KIF23;ARPC2;ARPC3;CASS4;ADAM9;CTNNB1;P4HB;ARHGEF2;VIM;MAPRE1;PPIB;PHLDB2;NECTIN2;HSPA1A;LIMS1"
"Endoplasmic Reticulum Membrane (GO:0005789)","75/801",0.00441133709950374,0.04805206483388,0,0,1.41419059482633,7.66997220357309,"ERO1A;LMBR1L;KDELR1;PDCD6;SLC35B1;SPPL2A;PLOD1;AUP1;AREG;ZFYVE27;TMED3;TMED2;RAC1;SEC61B;NOMO1;HLA-DPA1;NOMO2;SEC13;TMED9;ALG5;CYBA;ELOVL7;PDIA6;DDOST;PDIA5;MBLAC2;TMEM258;ASPH;SELENOS;SOAT2;RTN1;RPN2;HM13;DERL3;MGST1;SRI;SELENOK;CYP19A1;SELENOI;USP19;HSP90B1;UBE2J1;MTDH;APOO;LMAN1;CYB5R4;NRAS;LMAN2;EMC3;EMC4;CD59;EMC7;MPDU1;SEC11C;OST4;HSD3B7;HSPA5;GALNT2;CAV1;GALNT1;SURF4;DHCR24;PAFAH2;YIF1B;CHERP;SQLE;ERP44;SPCS3;XK;SCD;OSTC;CALU;CDK1;CLPTM1L;CDS2"
