"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000160072",271.341499798985,-0.211918609563678,0.186779701207449,-1.13459122267419,0.256546632471921,0.509987350478816,"ENSG00000160072"
"ENSG00000279928",3.90240079835051,0.416484575858169,1.04297954728717,0.399321901317684,0.689656031475814,0.855890094264414,"ENSG00000279928"
"ENSG00000228037",10.2488693051079,-0.907193280643956,0.43972664305139,-2.06308463446445,0.0391045877824107,0.161740806990142,"ENSG00000228037"
"ENSG00000142611",1.75548455272893,1.96801956472561,1.14431437902406,1.7198242028594,0.0854644017562227,NA,"ENSG00000142611"
"ENSG00000157911",311.028130287155,-0.24792923713589,0.115703153628346,-2.14280449029308,0.032128800613967,0.142489303080335,"ENSG00000157911"
"ENSG00000269896",2.86698751273433,0.0445182994752084,1.00236618616035,0.0444132095534266,0.96457503233833,NA,"ENSG00000269896"
"ENSG00000228463",3.14219861063123,-0.0127594199713021,0.813800654681787,-0.015678802785298,0.987490637846531,0.995606175759028,"ENSG00000228463"
"ENSG00000142655",126.019194147732,0.25748325171223,0.188526971817947,1.36576347261797,0.172013214755818,0.404806468923283,"ENSG00000142655"
"ENSG00000149527",140.729867227199,-0.397756142350713,0.467341383596099,-0.851104045804929,0.39471155819965,0.64283723133589,"ENSG00000149527"
"ENSG00000171621",59.4670681268083,0.983078113435132,0.286506215955004,3.43126277438087,0.00060077833414065,0.00859601771973454,"ENSG00000171621"
"ENSG00000142583",60.0949246586819,2.01765579011971,0.407409844157787,4.95239822761446,7.3304396533091e-07,3.99137418273603e-05,"ENSG00000142583"
"ENSG00000116786",780.467597651131,0.0786698189153811,0.237769870172269,0.330865381969479,0.740746171771123,0.881922322839841,"ENSG00000116786"
"ENSG00000287727",3.22447491609375,1.0228212397762,0.899496719187843,1.13710391373045,0.255494848032972,0.508992041881244,"ENSG00000287727"
"ENSG00000226457",8.64221344354571,-1.16553466691915,0.480297790745255,-2.42669170955512,0.0152371976315993,0.0862958424092315,"ENSG00000226457"
"ENSG00000173614",80.1700752698779,-0.153138366603748,0.284104398290559,-0.539021456637677,0.58987204938502,0.793499931456434,"ENSG00000173614"
"ENSG00000162592",29.2611746478849,-0.182166142698726,0.300697382771808,-0.605812199027247,0.544639468109808,0.761246556664627,"ENSG00000162592"
